interval_half_width,channel_asymmetry,score_gradient_angle,clean_gradient_cosine_mean,cosine_gain_over_best_nonoracle_mean,false_positive_direction_rate,abstention_rate,worst_case_alignment_margin_mean,identified_set_diameter_mean,point_direction_difference_max
0.05,0.08,60.0,0.9995667862092146,-0.0003402393341779053,0.0,0.0,0.9616836769217139,0.17492855684535907,0.04360991718851974
0.05,0.08,90.0,1.0,9.901130407381497e-05,0.0,0.0,0.9910346790621644,0.22291676269862876,0.014242066297995308
0.05,0.16,0.0,1.0,0.0,0.0,0.0,0.9722478824977611,0.24000000000000005,1.1443916996305594e-16
0.05,0.16,30.0,0.9999610218761308,8.729840888950235e-05,0.0,0.0,0.9761464032118996,0.22291676269862873,0.025013600183950633
0.05,0.16,60.0,0.9998971698915096,0.00025130749799284757,0.0,0.0,0.9868589668122588,0.17492855684535905,0.041441060458471304
0.05,0.16,90.0,1.0,0.0003877879949654828,0.0,0.0,1.0016412807799626,0.22291676269862887,0.028182019338439293
0.05,0.24,0.0,1.0,-8.881784197001253e-17,0.0,0.0,1.0122478824977608,0.24000000000000005,1.1443916996305594e-16
0.05,0.24,30.0,1.0,0.0002660342083571798,0.0,0.0,1.0122478824977608,0.22291676269862876,0.02332080859335832
0.05,0.24,60.0,1.0,0.0007594663905380772,0.0,0.0,1.0122478824977608,0.17492855684535905,0.03941531239315294
0.05,0.24,90.0,1.0,0.0008542835549814054,0.0,0.0,1.0122478824977608,0.2229167626986288,0.041823467202809134
0.1,0.0,0.0,1.0,-8.881784197001253e-17,0.0,0.0,0.7722478824977609,0.4800000000000001,2.2887833992611187e-16
0.1,0.0,30.0,0.9978931580288345,-0.0021068419711657294,0.0,0.0,0.7970897494885112,0.4458335253972576,0.06591962119503962
0.1,0.0,60.0,0.9951529742646054,-0.004847025735394794,0.0,0.0,0.8634902362203813,0.3498571136907181,0.09986535228534926
0.1,0.0,90.0,1.0000000000000002,0.0,0.0,0.0,0.9486082721909714,0.4458335253972576,8.349770295452321e-16
0.1,0.08,0.0,1.0,0.0,0.0,0.0,0.852247882497761,0.4800000000000001,1.2412670766236366e-16
0.1,0.08,30.0,0.9992116068288937,-0.000662116638347654,0.0,0.0,0.8683742958489686,0.44583352539725774,0.05634256083620525
0.1,0.08,60.0,0.9980719008060761,-0.0015739615874406088,0.0,0.0,0.9120445986666075,0.34985711369071815,0.08984302158796187
0.1,0.08,90.0,1.0,0.0003877879949654828,0.0,0.0,0.969821475626568,0.4458335253972576,0.028182019338440004
0.1,0.16,0.0,1.0000000000000002,-4.4408920985006264e-17,0.0,0.0,0.932247882497761,0.48,1.1443916996305594e-16
0.1,0.16,30.0,0.9998318980130925,0.00027563609675027576,0.0,0.0,0.9401268516415356,0.4458335253972576,0.048682051437866254
0.1,0.16,60.0,0.9995667862092146,0.0008548458718719675,0.0,0.0,0.9616836769217139,0.34985711369071815,0.08111516532345203
0.1,0.16,90.0,1.0,0.001486913789072175,0.0,0.0,0.9910346790621644,0.4458335253972576,0.05517036395071518
0.1,0.24,0.0,1.0,-8.881784197001253e-17,0.0,0.0,1.0122478824977608,0.4800000000000001,1.1443916996305594e-16
0.1,0.24,30.0,1.0,0.000883837205358895,0.0,0.0,1.0122478824977608,0.4458335253972575,0.04246563886727474
0.1,0.24,60.0,1.0,0.0026446414394996507,0.0,0.0,1.0122478824977608,0.3498571136907181,0.07349542140292192
0.1,0.24,90.0,1.0,0.0032065998130196504,0.0,0.0,1.0122478824977608,0.4458335253972576,0.08099778860505859
0.2,0.0,0.0,1.0,-8.881784197001253e-17,0.0,0.0,0.5322478824977608,0.9600000000000002,1.3877787807814457e-16
0.2,0.0,30.0,0.9843907867237963,-0.015609213276203793,0.0,0.0,0.5877444884717755,0.8916670507945152,0.1803853122854013
