context_count,audit_size,channel_interval_half_width,channel_heterogeneity,score_gradient_noncollinearity_angle,false_certified_sign_rate,harmful_sample_update_rate,clean_gradient_cosine,certified_mass,cosine_gain_over_best_nonoracle,cosine_gain_over_H001,harmful_rate_reduction_over_best_nonoracle,harmful_rate_reduction_over_H001,point_limit_direction_difference,valid_coverage
2,128,0.1,0.15,45,0.0,0.0,0.996864772298304,0.6666666666666666,-0.002990872535922362,-0.002990872535922362,0.0,0.0,0.0986696139111731,True
2,128,0.1,0.15,90,0.0,0.0,0.9969525800024123,0.6666666666666666,-0.002958254460444043,-0.00283093056918704,0.0,0.0,0.0783733735704238,True
2,128,0.1,0.3,0,0.0,0.0,0.9994858385889895,0.6666666666666666,-0.0005033448078351598,-0.0004995619149743558,0.0,0.0,0.042927716294930224,True
2,128,0.1,0.3,45,0.0,0.0,0.9993159402908967,0.6666666666666666,-0.0006073260880820497,-0.0005510225822043857,0.0,0.0,0.04045371179070254,True
2,128,0.1,0.3,90,0.0,0.0,0.9971310580803024,0.6666666666666666,-0.0026449059410180277,-0.0025204806053240603,0.0,0.0,0.08268464540007364,True
2,128,0.2,0.0,0,0.0,0.0,-0.0215795887209848,0.2333333333333333,-1.0215795887209846,-1.0215373375450953,0.0,0.13333333333333333,1.9998728055082273,True
2,128,0.2,0.0,45,0.0,0.0,0.513684661771614,0.19999999999999998,-0.486315338228386,-0.48625745299157686,0.0,0.06666666666666667,1.0,True
2,128,0.2,0.0,90,0.0,0.0,0.7633534349700091,0.23333333333333334,-0.23664656502999087,-0.2358660235149034,0.0,0.06666666666666667,1.0,True
2,128,0.2,0.15,0,0.0,0.0,0.6052004094339519,0.3333333333333333,-0.3947353375281307,-0.3947353375281307,0.0,0.0,1.9811765678423798,True
2,128,0.2,0.15,45,0.0,0.0,0.9884507238753484,0.39999999999999997,-0.011451109054154496,-0.011451109054154496,0.0,0.0,0.2029339032579041,True
2,128,0.2,0.15,90,0.0,0.0,0.9982901934401018,0.3666666666666666,-0.0016006385998458494,-0.0015055471904469985,0.0,0.0,0.08903932282517661,True
2,128,0.2,0.3,0,0.0,0.0,0.9996469574060907,0.3666666666666666,-0.00011898946640034324,4.589429320756011e-06,0.0,0.0,0.01858172368574424,True
2,128,0.2,0.3,45,0.0,0.0,0.9989855301485375,0.3333333333333333,-0.0006240753951185285,-0.0004152268052217023,0.0,0.0,0.06447817599739065,True
2,128,0.2,0.3,90,0.0,0.0,0.9954598577516585,0.3333333333333333,-0.004411660134660056,-0.0036389719739942316,0.0,0.0,0.06729802260565228,True
2,256,0.02,0.0,0,0.0,0.0,0.9999969753844813,0.8666666666666666,-3.02461551868749e-06,-2.9782642774645042e-06,0.0,0.0,0.0039776590135506855,True
2,256,0.02,0.0,45,0.0,0.0,0.9999985176396132,1.0,-1.4823603868174828e-06,-3.567213251454149e-07,0.0,0.0,0.002659336840542416,True
2,256,0.02,0.0,90,0.0,0.0,0.9999871326694242,0.8666666666666666,-1.286733057566103e-05,-3.852778590252015e-06,0.0,0.0,0.0035282485793654557,True
2,256,0.02,0.15,0,0.0,0.0,0.9999900087230129,1.0,-9.436968693732339e-06,-9.434433816624122e-06,0.0,0.0,0.007601668189260422,True
2,256,0.02,0.15,45,0.0,0.0,0.9999892347683641,0.9333333333333332,-7.119856945236869e-06,-6.37694449934223e-06,0.0,0.0,0.0031817450200174974,True
2,256,0.02,0.15,90,0.0,0.0,0.9999798362426233,0.8666666666666666,-1.1409672939954874e-05,-9.365625444623937e-06,0.0,0.0,0.0041665315897831965,True
2,256,0.02,0.3,0,0.0,0.0,0.9999864994878263,1.0,-1.3201360563663834e-05,-1.3201070910251467e-05,0.0,0.0,0.007502505110233206,True
2,256,0.02,0.3,45,0.0,0.0,0.9999750715914087,1.0,-2.2772660710135283e-05,-2.143788541144609e-05,0.0,0.0,0.006561846298297138,True
2,256,0.02,0.3,90,0.0,0.0,0.999989444417292,1.0,-7.856641531356345e-06,-6.3919685802993346e-06,0.0,0.0,0.0036617756887688886,True
2,256,0.05,0.0,0,0.0,0.0,0.9999829516150394,0.6666666666666666,-1.7048384960705044e-05,-1.6539901417167437e-05,0.0,0.0,0.00867884636604699,True
2,256,0.05,0.0,45,0.0,0.0,0.9999652772731332,0.6666666666666666,-3.4722726866665e-05,-1.3744951250482807e-05,0.0,0.0,0.003035082007813688,True
